Title,URL,Description,Best Rating,Worst Rating,Rating,Genre,Duration
WALL·E,https://www.imdb.com/title/tt0910970/,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",10,1,8.4,"Animation, Adventure, Family",PT1H38M
Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",10,1,8.4,"Action, Adventure",PT1H55M
12th Fail,https://www.imdb.com/title/tt23849204/,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,10,1,8.8,"Biography, Drama",PT2H27M
Das Leben der Anderen,https://www.imdb.com/title/tt0405094/,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",10,1,8.4,"Drama, Mystery, Thriller",PT2H17M
Sunset Blvd.,https://www.imdb.com/title/tt0043014/,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,10,1,8.4,"Drama, Film-Noir",PT1H50M
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,10,1,8.4,"Action, Adventure, Sci-Fi",PT2H29M
Paths of Glory,https://www.imdb.com/title/tt0050825/,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,10,1,8.4,"Drama, War",PT1H28M
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,10,1,8.4,"Animation, Action, Adventure",PT1H57M
Witness for the Prosecution,https://www.imdb.com/title/tt0051201/,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,10,1,8.4,"Crime, Drama, Mystery",PT1H56M
The Shining,https://www.imdb.com/title/tt0081505/,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",10,1,8.4,"Drama, Horror",PT2H26M
The Great Dictator,https://www.imdb.com/title/tt0032553/,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.,10,1,8.4,"Comedy, Drama, War",PT2H5M
Aliens,https://www.imdb.com/title/tt0090605/,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",10,1,8.4,"Action, Adventure, Sci-Fi",PT2H17M
Inglourious Basterds,https://www.imdb.com/title/tt0361748/,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same.",10,1,8.4,"Adventure, Drama, War",PT2H33M
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",10,1,8.4,"Action, Drama, Thriller",PT2H44M
Coco,https://www.imdb.com/title/tt2380307/,"Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",10,1,8.4,"Animation, Adventure, Drama",PT1H45M
Amadeus,https://www.imdb.com/title/tt0086879/,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart&apos;s talent and claimed to have murdered him.",10,1,8.4,"Biography, Drama, Music",PT2H40M
Toy Story,https://www.imdb.com/title/tt0114709/,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy&apos;s bedroom.,10,1,8.3,"Animation, Adventure, Comedy",PT1H21M
